ID_SOURCE,ID_TARGET,NILAI_TRANSAKSI
200,1463,200000
1479,1550,200000
1479,1298,600000
1479,595,1200000
1479,155,100000
1823,1824,86000000
1280,686,2600000
1133,817,200000
1133,916,200000
1133,1199,200000
181,670,900000
181,1556,1200000
615,1431,1500000
221,1397,1100000
338,1781,8800000
338,1121,4300000
269,1721,17400000
859,773,200000
1185,464,400000
1593,685,15200000
398,841,100000
1499,1737,500000
817,1642,100000
1825,1186,1800000
1825,785,1200000
1825,1594,400000
1825,1300,3700000
1475,1774,400000
1555,197,43100000
1555,560,80400000
1555,724,24600000
1555,310,3100000
1555,1017,99500000
1555,968,45400000
820,211,300000
820,186,300000
820,1502,10900000
820,1794,2300000
820,700,300000
1246,1119,200000
1302,956,1200000
222,597,3600000
281,380,1200000
278,1263,600000
278,267,200000
311,782,3200000
311,926,300000
311,549,1300000
311,40,2100000
477,1191,1500000
509,1398,400000
1586,758,7100000
1586,1243,100000
98,1345,100000
1739,1813,4500000
819,260,11800000
1276,1463,2500000
1374,518,1800000
1374,739,2100000
781,777,9000000
1031,234,5500000
1031,1278,100000
13,1119,300000
1160,1372,1100000
1160,91,4600000
1160,215,2100000
1160,707,2100000
1452,1523,600000
1019,420,39200000
1019,150,800000
1019,578,32000000
1019,413,1100000
1019,169,200000
1019,534,200000
1019,208,37527800000
1449,522,5300000
64,1475,1200000
1094,1067,200000
1307,1281,50300000
1307,1345,1500000
86,1407,1300000
86,1150,100000
86,1720,300000
86,584,100000
86,1158,300000
86,575,2400000
86,10,200000
86,1505,2800000
86,184,500000
86,815,1800000
86,88,300000
86,1636,1200000
86,1065,400000
753,1270,1300000
280,953,11800000
12,1718,187000000
12,1584,4300000
1634,653,1300000
991,436,900000
991,1800,62000000
60,1035,2000000
831,170,500000
58,1480,100000
58,262,100000
1064,170,6200000
693,170,1000000
693,1308,600000
693,1480,2500000
693,1605,300000
1305,170,2500000
1605,693,500000
1605,58,800000
1605,170,200000
748,170,600000
1692,831,700000
1692,170,100000
861,718,1300000
861,14,200000
861,1232,100000
861,714,100000
861,119,200000
861,1566,100000
1369,1212,10500000
1212,1369,22300000
1808,1702,13300000
87,1047,100000
651,1471,1300000
1773,1590,100000
1689,1787,28000000
698,1834,89300000
1670,749,4900000
155,1479,8200000
155,1345,1700000
155,1104,100000
155,1298,100000
374,1242,813600000
374,548,600000
374,1422,300000
374,1446,100000
1413,1325,200000
1413,88,100000
1413,815,2600000
1413,1505,100000
1413,584,1900000
1413,1150,2300000
1413,575,2100000
1413,1720,3200000
1669,204,1300000
1669,918,100000
1669,636,200000
1158,584,200000
1158,1065,300000
1158,815,500000
1158,94,1200000
1158,88,100000
1158,10,800000
1158,1407,100000
1158,1720,800000
223,67,1300000
203,479,9200000
1585,1289,100000
1585,1266,200000
1585,532,1400000
1585,924,300000
1585,629,300000
1585,1726,200000
1585,1097,200000
1496,6,800000
756,1808,300000
746,561,100000
1164,907,2000000
1029,1702,999600000
1472,1462,400000
1517,245,13100000
1549,1170,10900000
480,1117,700000
282,253,200000
1471,651,2200000
523,65,18700000
1453,343,7400000
1453,363,800000
1453,1729,1200000
1453,1811,2800000
784,1098,30800000
589,757,1400000
592,694,100000
592,1613,100000
1544,140,900000
67,223,1100000
556,1023,2400000
1247,540,4500000
1532,1233,200000
1532,807,3800000
689,1470,100000
689,715,613200000
1442,1153,2400000
1527,1239,100000
924,1255,1200000
924,288,100000
1249,1144,1200000
218,1500,5400000
576,1496,3000000
576,6,2600000
576,464,200000
1500,218,3800000
1255,1726,6500000
11,1251,100000
549,311,100000
549,738,100000
814,1207,300000
1214,1847,1200000
467,1206,100000
1146,1788,200000
1410,758,9500000
1410,943,500000
1410,132,100000
1410,1625,800000
466,48,1000000
1409,401,5100000
782,33,100000
995,1677,64500000
995,793,141600000
779,1496,11500000
985,1736,492000000
1557,1499,3100000
346,402,187300000
1603,914,2813200000
988,1487,200000
988,1409,113900000
988,1250,3700000
988,1592,2200000
988,1143,1500000
988,189,400000
1371,1743,300000
1371,1008,300000
1371,1389,300000
1371,650,1800000
1186,1542,100000
1186,1594,100000
1163,273,21500000
785,699,300000
785,1186,99500000
666,42,900000
666,583,1100000
1636,1150,100000
1636,88,100000
1636,86,1200000
1636,815,1100000
1636,1065,200000
1636,575,1700000
1636,1720,100000
1636,10,100000
1636,1505,400000
1636,1325,500000
1636,1158,100000
81,934,1200000
220,1753,100000
220,1599,800000
220,885,200000
220,1688,500000
25,1738,100000
1187,140,100000
1187,1083,200000
596,27,2800000
1407,815,1200000
1407,1505,300000
1407,575,1900000
1407,86,1200000
1407,1325,800000
1407,10,300000
1407,1720,200000
1407,1065,200000
1407,584,100000
1407,88,300000
1211,539,1000000
1211,824,100000
1211,945,71000000
1211,137,300000
1211,1460,10818500000
198,1323,800000
1085,490,1200000
1738,778,1600000
815,94,100000
815,1636,500000
815,88,300000
815,1413,900000
815,1720,100000
815,1325,400000
815,1407,800000
815,575,2100000
575,1505,1400000
575,10,300000
575,184,300000
575,1065,400000
575,1413,900000
575,1636,6400000
575,815,3300000
575,1407,1800000
575,1325,700000
575,584,100000
575,1150,200000
575,1720,300000
575,94,200000
215,1478,100000
1325,815,1100000
1325,184,200000
1325,88,300000
1325,1413,200000
1325,1065,100000
1325,575,600000
1325,1407,300000
1325,1505,300000
860,1363,300000
430,943,100000
430,72,100000
430,1546,600000
1506,758,29500000
1506,688,27700000
839,1473,228600000
839,595,100000
839,1225,42400000
839,1742,2900000
839,891,1400000
839,1394,300000
78,1569,10700000
78,925,300000
78,1591,200000
78,1433,1300000
89,1293,1000000
1251,11,2900000
1637,1333,100000
1637,494,100000
1637,1854,6000000
344,1718,1600000
457,1038,173400000
457,1210,4700000
457,823,300000
457,927,10500000
457,789,147000000
457,382,164600000
1520,207,11600000
1687,1336,400000
39,268,2400000
1397,1113,100000
1397,1366,200000
1162,1147,1000000
1041,1294,20800000
1041,745,13600000
1041,801,44000000
1041,638,300000
1041,622,31100000
429,1391,196800000
429,1825,1800000
429,162,400000
994,478,6900000
994,808,700000
994,1007,200000
994,991,5300000
994,1534,10400000
994,1800,4000000
994,1378,300000
994,911,1600000
994,1394,1588400000
994,876,200000
994,1479,2900000
994,265,28000000
994,1582,500000
994,331,900000
994,1078,200000
994,832,41100000
994,1417,2300000
994,921,400000
994,1309,95300000
994,1492,2800000
994,1195,12000000
994,839,2087600000
994,1345,600000
994,1563,200000
1805,1545,4900000
649,1545,800000
1545,649,1200000
1545,1014,15700000
1545,1805,1200000
1590,1779,10400000
1590,1286,1200000
1590,1758,100000
1590,168,200000
1590,1248,200000
1590,294,500000
1590,314,200000
1590,1765,300000
1590,764,7400000
276,448,52700000
41,1375,300000
1771,820,18800000
1771,978,900000
1771,1272,1600000
1771,931,400000
508,677,200000
1719,384,1300000
1515,844,4400000
1281,595,900000
1281,1485,42600000
1248,973,1200000
1062,1463,9100000
1365,1660,300000
36,820,5000000
36,978,213000000
36,1587,272000000
36,1272,239700000
577,994,700000
577,127,300000
577,1195,4800000
577,91,4600000
577,1478,2400000
577,1004,1100000
577,1485,500000
577,1534,1800000
577,187,1800000
577,612,1700000
577,598,1500000
577,582,100000
577,1742,4000000
577,1165,1700000
577,595,100000
577,1800,209100000
577,265,7800000
577,1226,900000
577,1744,1700000
577,1042,2300000
577,891,6900000
577,154,1500000
577,436,700000
577,1000,300000
577,1037,191100000
577,707,8400000
577,1683,200000
577,1160,6900000
577,89,1800000
577,992,4700000
577,769,400000
577,836,1300000
577,215,1100000
577,1002,900000
577,755,600000
577,1372,1200000
577,1822,2600000
577,1275,2200000
577,857,3900000
577,503,200000
577,996,1700000
577,1423,1400000
577,126,400000
577,452,4000000
577,1654,100000
577,1078,100000
577,179,100000
577,813,800000
337,848,1200000
1061,1843,1300000
1061,976,100000
1084,1346,10600000
1084,1743,200000
1084,650,900000
1084,360,300000
1084,1371,33700000
63,1111,400000
1032,652,100000
1772,1645,400000
1772,1735,400000
1772,271,400000
1454,535,100000
1454,243,500000
1394,347,500000
1394,1473,100000
1394,994,394000000
1394,127,200000
1394,1072,1000000
1394,1149,100000
1394,577,100000
1394,1742,79000000
1394,1138,600000
1394,935,6800000
1091,341,4100000
1091,80,19500000
1091,324,100000
844,1515,1800000
844,1508,200000
844,463,700000
844,1558,200000
844,1228,1200000
