srcid,dstid,srcname,dstname
1392912791309225986,2558197662,hero_theone,patriot016610
1392912791309225986,110312278,hero_theone,aniesbaswedan
1037711384753004545,1052339653,RujackX,siregar_najeges
1372465045192384516,1556284464505823232,MarkEsso8,adiastaraya
1372465045192384516,43088704,MarkEsso8,erickthohir
1372465045192384516,366987179,MarkEsso8,jokowi
553451866,1040306964100669440,ZainAris,NenkMonica
1047498443877281793,1329714991512002560,HasanMuzammil2,baharirwan2
1580154894140395520,2558197662,EBalakaciut,patriot016610
1580154894140395520,110312278,EBalakaciut,aniesbaswedan
902837643024539651,109149190,medcom_id,NasDem
902837643024539651,110312278,medcom_id,aniesbaswedan
902837643024539651,902837643024539651,medcom_id,medcom_id
107516754,2558197662,iwaniswan,patriot016610
107516754,110312278,iwaniswan,aniesbaswedan
1494069086288216066,1416006621545734145,V_eRi3,Candra4smara
1494069086288216066,110312278,V_eRi3,aniesbaswedan
1417199568081473549,2558197662,UmarNegara,patriot016610
1417199568081473549,110312278,UmarNegara,aniesbaswedan
1379863429,2558197662,CHaendrajit,patriot016610
1379863429,110312278,CHaendrajit,aniesbaswedan
1106561312459350016,2558197662,Suroso60592134,patriot016610
1106561312459350016,110312278,Suroso60592134,aniesbaswedan
768768865631297536,2558197662,rizal_1966,patriot016610
768768865631297536,110312278,rizal_1966,aniesbaswedan
1336114096358375424,2558197662,AmirGrage,patriot016610
1336114096358375424,110312278,AmirGrage,aniesbaswedan
1379546070783430661,111869546,DM_N4BYL,Eka_Dutajaladri
1379546070783430661,109762193,DM_N4BYL,ganjarpranowo
1379546070783430661,111869546,DM_N4BYL,Eka_Dutajaladri
1379546070783430661,43088704,DM_N4BYL,erickthohir
984321014724096001,2558197662,PRABU_KLITI,patriot016610
984321014724096001,110312278,PRABU_KLITI,aniesbaswedan
4184979312,1419906494946967554,AntoniusCDN,axcellianto_29
4184979312,366987179,AntoniusCDN,jokowi
1380421455523979269,2558197662,galery_rds,patriot016610
1380421455523979269,110312278,galery_rds,aniesbaswedan
2558197662,110312278,patriot016610,aniesbaswedan
236244328,2558197662,KsatriaRasydan,patriot016610
236244328,110312278,KsatriaRasydan,aniesbaswedan
3382214654,1246315099507187712,MakmuriHamid,Bundana18
3382214654,110312278,MakmuriHamid,aniesbaswedan
3382214654,109149190,MakmuriHamid,NasDem
3382214654,1583306521567338496,MakmuriHamid,dpw_nasdem_aceh
1418639065004449794,2558197662,MGhufro38074283,patriot016610
1418639065004449794,110312278,MGhufro38074283,aniesbaswedan
373705577,2558197662,suryobumi,patriot016610
373705577,110312278,suryobumi,aniesbaswedan
2424623875,1537766676670074880,kusnansaja14,Tita83079013
1136872958,1556284464505823232,bie_menk,adiastaraya
1136872958,43088704,bie_menk,erickthohir
1136872958,366987179,bie_menk,jokowi
2642027574,2558197662,edihermanto1234,patriot016610
2642027574,110312278,edihermanto1234,aniesbaswedan
3382214654,2905814730,MakmuriHamid,abu_waras
1596518212258058241,1329714991512002560,Khaerul49053140,baharirwan2
918675172353220608,2558197662,baim_loebis,patriot016610
918675172353220608,110312278,baim_loebis,aniesbaswedan
80514793,158912165,vebaa,JHPrabowo
1336114096358375424,1502537587407294464,AmirGrage,Sekber_AniesId
734581046595977216,2558197662,trenmartcom,patriot016610
734581046595977216,110312278,trenmartcom,aniesbaswedan
1153285909392945153,961938229053210624,JajaMbay,pardi_menaratu
1153285909392945153,1490116879,JajaMbay,cakimiNOW
435004096,1556284464505823232,Aryprasetyo85,adiastaraya
435004096,43088704,Aryprasetyo85,erickthohir
435004096,366987179,Aryprasetyo85,jokowi
963271221273026560,2558197662,adedian36,patriot016610
963271221273026560,110312278,adedian36,aniesbaswedan
403906983,2558197662,arm_eff,patriot016610
403906983,110312278,arm_eff,aniesbaswedan
1110327754422013952,929287558281830400,RudyBangun4,yaniarsim
1110327754422013952,110312278,RudyBangun4,aniesbaswedan
1504963742831767552,1502537587407294464,MasRahmad121,Sekber_AniesId
1511949713238786049,69183155,Omar37465681,detikcom
1863161028,1185767973111263233,bakulswikee,Relawananies
410416517,2558197662,Soekarnoist,patriot016610
410416517,110312278,Soekarnoist,aniesbaswedan
1022206613564796928,169902541,jauhar_fikri,dpwpkbjatim_
1022206613564796928,1490116879,jauhar_fikri,cakimiNOW
1337026329879793666,1567483663545438209,baliandra2,PutunMy
1863161028,2558197662,bakulswikee,patriot016610
1863161028,110312278,bakulswikee,aniesbaswedan
1260531598383972352,1556284464505823232,winsandiii,adiastaraya
1260531598383972352,43088704,winsandiii,erickthohir
1260531598383972352,366987179,winsandiii,jokowi
1260531598383972352,1310491734086877184,winsandiii,riyadisugeng167
1392912791309225986,2558197662,hero_theone,patriot016610
1392912791309225986,110312278,hero_theone,aniesbaswedan
3159578293,2558197662,fazamutaqi0210,patriot016610
3159578293,110312278,fazamutaqi0210,aniesbaswedan
3159578293,2558197662,fazamutaqi0210,patriot016610
