srcid, dstid, srcname, dstname
1392912791309225986,2558197662,hero_theone,patriot016610
1037711384753004545,1052339653,RujackX,siregar_najeges
1372465045192384516,1556284464505823232,MarkEsso8,adiastaraya
1580154894140395520,2558197662,EBalakaciut,patriot016610
107516754,2558197662,iwaniswan,patriot016610
1417199568081473549,2558197662,UmarNegara,patriot016610
1379863429,2558197662,CHaendrajit,patriot016610
1106561312459350016,2558197662,Suroso60592134,patriot016610
768768865631297536,2558197662,rizal_1966,patriot016610
1336114096358375424,2558197662,AmirGrage,patriot016610
1379546070783430661,111869546,DM_N4BYL,Eka_Dutajaladri
1379546070783430661,111869546,DM_N4BYL,Eka_Dutajaladri
984321014724096001,2558197662,PRABU_KLITI,patriot016610
4184979312,1419906494946967554,AntoniusCDN,axcellianto_29
1380421455523979269,2558197662,galery_rds,patriot016610
236244328,2558197662,KsatriaRasydan,patriot016610
1418639065004449794,2558197662,MGhufro38074283,patriot016610
373705577,2558197662,suryobumi,patriot016610
1136872958,1556284464505823232,bie_menk,adiastaraya
2642027574,2558197662,edihermanto1234,patriot016610
918675172353220608,2558197662,baim_loebis,patriot016610
1336114096358375424,1502537587407294464,AmirGrage,Sekber_AniesId
734581046595977216,2558197662,trenmartcom,patriot016610
435004096,1556284464505823232,Aryprasetyo85,adiastaraya
963271221273026560,2558197662,adedian36,patriot016610
403906983,2558197662,arm_eff,patriot016610
1504963742831767552,1502537587407294464,MasRahmad121,Sekber_AniesId
1511949713238786049,69183155,Omar37465681,detikcom
1863161028,1185767973111263233,bakulswikee,Relawananies
410416517,2558197662,Soekarnoist,patriot016610
1022206613564796928,169902541,jauhar_fikri,dpwpkbjatim_
1337026329879793666,1567483663545438209,baliandra2,PutunMy
1863161028,2558197662,bakulswikee,patriot016610
1260531598383972352,1556284464505823232,winsandiii,adiastaraya
1260531598383972352,1310491734086877184,winsandiii,riyadisugeng167
1392912791309225986,2558197662,hero_theone,patriot016610
3159578293,2558197662,fazamutaqi0210,patriot016610
3159578293,2558197662,fazamutaqi0210,patriot016610
1495612577703170048,1387838579435458565,gelmbel9018,tukangrosok___
1379546070783430661,1310491734086877184,DM_N4BYL,riyadisugeng167
1065725453623652352,2558197662,Tauhid_SHA,patriot016610
1379546070783430661,1556284464505823232,DM_N4BYL,adiastaraya
1573202523879448576,2558197662,ridwan251311,patriot016610
1379546070783430661,1556284464505823232,DM_N4BYL,adiastaraya
839817438241808384,1387838579435458565,heintje_han,tukangrosok___
747772552139804672,1502537587407294464,HiSony1,Sekber_AniesId
1571466725895573504,1393035831166730244,ikotjo22,Sutarno90739398
862915014683893760,2558197662,FahiraAbu,patriot016610
1464941164704894979,2558197662,WargaSipilBaik,patriot016610
1109632952445460481,1052339653,Muadz38588306,siregar_najeges
1541191938,2558197662,sukabumiazam,patriot016610
1035758255530696704,1260061504767836162,ByuCyd,Dharma_tc
1161962540919709697,2558197662,AChamplads,patriot016610
1136153008968937473,1502537587407294464,Ridwan107111,Sekber_AniesId
1566419111617634304,2558197662,AbirKha48004552,patriot016610
1269648152908296192,2558197662,Donaymokoginta,patriot016610
1340668721786843136,2558197662,Soulfl1,patriot016610
1488654744419979264,1502537587407294464,LaJaya75536516,Sekber_AniesId
1582628026231115777,2558197662,Ibrahim72982761,patriot016610
1084725862811852800,1456283686312103939,mohbunyan,Yurissa_Samosir
34579926,2558197662,pasadenasl,patriot016610
66583794,2558197662,rizayana,patriot016610
1582628026231115777,2558197662,Ibrahim72982761,patriot016610
1338379570446098432,2558197662,Dody03180922,patriot016610
1338379570446098432,2558197662,Dody03180922,patriot016610
1025385978280570882,1502537587407294464,TaufikH39409861,Sekber_AniesId
1025385978280570882,2558197662,TaufikH39409861,patriot016610
1523740039716679682,2558197662,MariahQibtiah13,patriot016610
879295432895025154,2558197662,amfas2020,patriot016610
1446489145950367745,1052339653,cahaya08nkri78,siregar_najeges
4519693453,2558197662,anugrahusman9,patriot016610
2683390502,2558197662,KuncoroJati1234,patriot016610
1091373501754163200,1387838579435458565,NdolixC,tukangrosok___
1394662022910922761,1502537587407294464,Mahmud35233344,Sekber_AniesId
768768865631297536,2558197662,rizal_1966,patriot016610
1163831645578776576,1387838579435458565,IZZYPANPORA1,tukangrosok___
1247097802938712064,1393035831166730244,AbdHali59646742,Sutarno90739398
373705577,2558197662,suryobumi,patriot016610
884688698272501760,1387838579435458565,GerBangNKRI,tukangrosok___
1570075217820782593,1387838579435458565,Kaki_Langith,tukangrosok___
